GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Veteran,Margin of Error; Total: - Veteran,Estimate; Total: - Nonveteran,Margin of Error; Total: - Nonveteran,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - Veteran,Margin of Error; Total: - Male: - Veteran,Estimate; Total: - Male: - Nonveteran,Margin of Error; Total: - Male: - Nonveteran,Estimate; Total: - Male: - 18 to 34 years:,Margin of Error; Total: - Male: - 18 to 34 years:,Estimate; Total: - Male: - 18 to 34 years: - Veteran,Margin of Error; Total: - Male: - 18 to 34 years: - Veteran,Estimate; Total: - Male: - 18 to 34 years: - Nonveteran,Margin of Error; Total: - Male: - 18 to 34 years: - Nonveteran,Estimate; Total: - Male: - 35 to 54 years:,Margin of Error; Total: - Male: - 35 to 54 years:,Estimate; Total: - Male: - 35 to 54 years: - Veteran,Margin of Error; Total: - Male: - 35 to 54 years: - Veteran,Estimate; Total: - Male: - 35 to 54 years: - Nonveteran,Margin of Error; Total: - Male: - 35 to 54 years: - Nonveteran,Estimate; Total: - Male: - 55 to 64 years:,Margin of Error; Total: - Male: - 55 to 64 years:,Estimate; Total: - Male: - 55 to 64 years: - Veteran,Margin of Error; Total: - Male: - 55 to 64 years: - Veteran,Estimate; Total: - Male: - 55 to 64 years: - Nonveteran,Margin of Error; Total: - Male: - 55 to 64 years: - Nonveteran,Estimate; Total: - Male: - 65 to 74 years:,Margin of Error; Total: - Male: - 65 to 74 years:,Estimate; Total: - Male: - 65 to 74 years: - Veteran,Margin of Error; Total: - Male: - 65 to 74 years: - Veteran,Estimate; Total: - Male: - 65 to 74 years: - Nonveteran,Margin of Error; Total: - Male: - 65 to 74 years: - Nonveteran,Estimate; Total: - Male: - 75 years and over:,Margin of Error; Total: - Male: - 75 years and over:,Estimate; Total: - Male: - 75 years and over: - Veteran,Margin of Error; Total: - Male: - 75 years and over: - Veteran,Estimate; Total: - Male: - 75 years and over: - Nonveteran,Margin of Error; Total: - Male: - 75 years and over: - Nonveteran,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - Veteran,Margin of Error; Total: - Female: - Veteran,Estimate; Total: - Female: - Nonveteran,Margin of Error; Total: - Female: - Nonveteran,Estimate; Total: - Female: - 18 to 34 years:,Margin of Error; Total: - Female: - 18 to 34 years:,Estimate; Total: - Female: - 18 to 34 years: - Veteran,Margin of Error; Total: - Female: - 18 to 34 years: - Veteran,Estimate; Total: - Female: - 18 to 34 years: - Nonveteran,Margin of Error; Total: - Female: - 18 to 34 years: - Nonveteran,Estimate; Total: - Female: - 35 to 54 years:,Margin of Error; Total: - Female: - 35 to 54 years:,Estimate; Total: - Female: - 35 to 54 years: - Veteran,Margin of Error; Total: - Female: - 35 to 54 years: - Veteran,Estimate; Total: - Female: - 35 to 54 years: - Nonveteran,Margin of Error; Total: - Female: - 35 to 54 years: - Nonveteran,Estimate; Total: - Female: - 55 to 64 years:,Margin of Error; Total: - Female: - 55 to 64 years:,Estimate; Total: - Female: - 55 to 64 years: - Veteran,Margin of Error; Total: - Female: - 55 to 64 years: - Veteran,Estimate; Total: - Female: - 55 to 64 years: - Nonveteran,Margin of Error; Total: - Female: - 55 to 64 years: - Nonveteran,Estimate; Total: - Female: - 65 to 74 years:,Margin of Error; Total: - Female: - 65 to 74 years:,Estimate; Total: - Female: - 65 to 74 years: - Veteran,Margin of Error; Total: - Female: - 65 to 74 years: - Veteran,Estimate; Total: - Female: - 65 to 74 years: - Nonveteran,Margin of Error; Total: - Female: - 65 to 74 years: - Nonveteran,Estimate; Total: - Female: - 75 years and over:,Margin of Error; Total: - Female: - 75 years and over:,Estimate; Total: - Female: - 75 years and over: - Veteran,Margin of Error; Total: - Female: - 75 years and over: - Veteran,Estimate; Total: - Female: - 75 years and over: - Nonveteran,Margin of Error; Total: - Female: - 75 years and over: - Nonveteran
0400000US09,09,Connecticut,2800025,461,199331,2457,2600694,2561,1342940,483,188337,2193,1154603,2335,391681,498,9315,680,382366,824,488049,311,34938,1425,453111,1460,231349,198,35949,1132,195400,1139,135415,209,50383,1020,85032,1043,96446,151,57752,949,38694,961,1457085,315,10994,713,1446091,822,383990,324,1461,306,382529,452,515444,291,4571,464,510873,587,247234,182,1990,282,245244,349,156540,189,913,160,155627,233,153877,169,2059,255,151818,304
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",14823,216,1163,182,13660,260,6912,259,1105,179,5807,245,1750,229,15,19,1735,228,2683,225,119,92,2564,229,1287,196,277,138,1010,159,711,143,362,106,349,95,481,120,332,124,149,62,7911,232,58,52,7853,227,1793,249,29,45,1764,246,3165,262,24,30,3141,264,1558,229,0,19,1558,229,805,129,0,19,805,129,590,131,5,10,585,130
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",111103,947,4661,453,106442,1088,53220,1212,4264,435,48956,1246,21711,981,304,139,21407,981,18321,725,1192,259,17129,693,7285,458,868,235,6417,458,3422,289,784,174,2638,291,2481,265,1116,193,1365,198,57883,907,397,127,57486,915,20975,700,101,78,20874,699,20103,719,224,109,19879,737,8259,511,46,40,8213,499,4397,369,0,28,4397,369,4149,351,26,26,4123,349
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",12831,364,656,159,12175,400,6246,290,650,158,5596,340,1465,296,0,19,1465,296,2347,238,83,79,2264,221,1229,234,88,61,1141,242,647,127,190,84,457,96,558,133,289,101,269,103,6585,334,6,10,6579,334,1302,211,0,19,1302,211,2510,222,0,19,2510,222,1369,220,0,19,1369,220,902,131,0,19,902,131,502,137,6,10,496,137
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",66020,782,3271,353,62749,836,32530,884,3073,314,29457,911,11220,760,152,100,11068,775,12657,684,590,210,12067,638,4355,401,523,160,3832,380,2617,267,874,149,1743,250,1681,259,934,175,747,218,33490,717,198,108,33292,741,10460,652,50,62,10410,660,11843,543,88,72,11755,547,4964,368,11,17,4953,367,3150,289,0,28,3150,289,3073,312,49,36,3024,320
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",14121,280,655,115,13466,282,6715,219,639,114,6076,227,1139,189,0,22,1139,189,3190,215,71,34,3119,218,1309,175,62,53,1247,161,567,92,226,57,341,83,510,85,280,76,230,60,7406,250,16,13,7390,250,1336,240,9,13,1327,239,3585,175,0,22,3585,175,1078,154,0,22,1078,154,820,128,7,11,813,127,587,105,0,22,587,105
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",5681,161,388,103,5293,183,2825,139,348,91,2477,162,441,113,0,17,441,113,1206,129,40,31,1166,132,584,119,28,25,556,119,406,92,152,60,254,92,188,69,128,59,60,36,2856,108,40,29,2816,111,310,98,0,17,310,98,1218,102,8,13,1210,103,636,113,11,19,625,110,388,71,0,17,388,71,304,75,21,17,283,75
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",45664,436,2372,241,43292,492,21123,477,2286,236,18837,488,5167,395,64,57,5103,394,8724,306,292,111,8432,325,3523,244,304,84,3219,231,2150,209,732,143,1418,175,1559,181,894,148,665,130,24541,420,86,53,24455,421,6165,389,0,28,6165,389,8940,327,50,35,8890,323,4066,281,0,28,4066,281,2486,185,0,28,2486,185,2884,213,36,32,2848,215
