GEO.id,GEO.id2,GEO.display-label,B21001_001E,B21001_001M,B21001_002E,B21001_002M,B21001_003E,B21001_003M,B21001_004E,B21001_004M,B21001_005E,B21001_005M,B21001_006E,B21001_006M,B21001_007E,B21001_007M,B21001_008E,B21001_008M,B21001_009E,B21001_009M,B21001_010E,B21001_010M,B21001_011E,B21001_011M,B21001_012E,B21001_012M,B21001_013E,B21001_013M,B21001_014E,B21001_014M,B21001_015E,B21001_015M,B21001_016E,B21001_016M,B21001_017E,B21001_017M,B21001_018E,B21001_018M,B21001_019E,B21001_019M,B21001_020E,B21001_020M,B21001_021E,B21001_021M,B21001_022E,B21001_022M,B21001_023E,B21001_023M,B21001_024E,B21001_024M,B21001_025E,B21001_025M,B21001_026E,B21001_026M,B21001_027E,B21001_027M,B21001_028E,B21001_028M,B21001_029E,B21001_029M,B21001_030E,B21001_030M,B21001_031E,B21001_031M,B21001_032E,B21001_032M,B21001_033E,B21001_033M,B21001_034E,B21001_034M,B21001_035E,B21001_035M,B21001_036E,B21001_036M,B21001_037E,B21001_037M,B21001_038E,B21001_038M,B21001_039E,B21001_039M
Id,Id2,Geography,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Veteran,Margin of Error!!Total!!Veteran,Estimate!!Total!!Nonveteran,Margin of Error!!Total!!Nonveteran,Estimate!!Total!!Male,Margin of Error!!Total!!Male,Estimate!!Total!!Male!!Veteran,Margin of Error!!Total!!Male!!Veteran,Estimate!!Total!!Male!!Nonveteran,Margin of Error!!Total!!Male!!Nonveteran,Estimate!!Total!!Male!!18 to 34 years,Margin of Error!!Total!!Male!!18 to 34 years,Estimate!!Total!!Male!!18 to 34 years!!Veteran,Margin of Error!!Total!!Male!!18 to 34 years!!Veteran,Estimate!!Total!!Male!!18 to 34 years!!Nonveteran,Margin of Error!!Total!!Male!!18 to 34 years!!Nonveteran,Estimate!!Total!!Male!!35 to 54 years,Margin of Error!!Total!!Male!!35 to 54 years,Estimate!!Total!!Male!!35 to 54 years!!Veteran,Margin of Error!!Total!!Male!!35 to 54 years!!Veteran,Estimate!!Total!!Male!!35 to 54 years!!Nonveteran,Margin of Error!!Total!!Male!!35 to 54 years!!Nonveteran,Estimate!!Total!!Male!!55 to 64 years,Margin of Error!!Total!!Male!!55 to 64 years,Estimate!!Total!!Male!!55 to 64 years!!Veteran,Margin of Error!!Total!!Male!!55 to 64 years!!Veteran,Estimate!!Total!!Male!!55 to 64 years!!Nonveteran,Margin of Error!!Total!!Male!!55 to 64 years!!Nonveteran,Estimate!!Total!!Male!!65 to 74 years,Margin of Error!!Total!!Male!!65 to 74 years,Estimate!!Total!!Male!!65 to 74 years!!Veteran,Margin of Error!!Total!!Male!!65 to 74 years!!Veteran,Estimate!!Total!!Male!!65 to 74 years!!Nonveteran,Margin of Error!!Total!!Male!!65 to 74 years!!Nonveteran,Estimate!!Total!!Male!!75 years and over,Margin of Error!!Total!!Male!!75 years and over,Estimate!!Total!!Male!!75 years and over!!Veteran,Margin of Error!!Total!!Male!!75 years and over!!Veteran,Estimate!!Total!!Male!!75 years and over!!Nonveteran,Margin of Error!!Total!!Male!!75 years and over!!Nonveteran,Estimate!!Total!!Female,Margin of Error!!Total!!Female,Estimate!!Total!!Female!!Veteran,Margin of Error!!Total!!Female!!Veteran,Estimate!!Total!!Female!!Nonveteran,Margin of Error!!Total!!Female!!Nonveteran,Estimate!!Total!!Female!!18 to 34 years,Margin of Error!!Total!!Female!!18 to 34 years,Estimate!!Total!!Female!!18 to 34 years!!Veteran,Margin of Error!!Total!!Female!!18 to 34 years!!Veteran,Estimate!!Total!!Female!!18 to 34 years!!Nonveteran,Margin of Error!!Total!!Female!!18 to 34 years!!Nonveteran,Estimate!!Total!!Female!!35 to 54 years,Margin of Error!!Total!!Female!!35 to 54 years,Estimate!!Total!!Female!!35 to 54 years!!Veteran,Margin of Error!!Total!!Female!!35 to 54 years!!Veteran,Estimate!!Total!!Female!!35 to 54 years!!Nonveteran,Margin of Error!!Total!!Female!!35 to 54 years!!Nonveteran,Estimate!!Total!!Female!!55 to 64 years,Margin of Error!!Total!!Female!!55 to 64 years,Estimate!!Total!!Female!!55 to 64 years!!Veteran,Margin of Error!!Total!!Female!!55 to 64 years!!Veteran,Estimate!!Total!!Female!!55 to 64 years!!Nonveteran,Margin of Error!!Total!!Female!!55 to 64 years!!Nonveteran,Estimate!!Total!!Female!!65 to 74 years,Margin of Error!!Total!!Female!!65 to 74 years,Estimate!!Total!!Female!!65 to 74 years!!Veteran,Margin of Error!!Total!!Female!!65 to 74 years!!Veteran,Estimate!!Total!!Female!!65 to 74 years!!Nonveteran,Margin of Error!!Total!!Female!!65 to 74 years!!Nonveteran,Estimate!!Total!!Female!!75 years and over,Margin of Error!!Total!!Female!!75 years and over,Estimate!!Total!!Female!!75 years and over!!Veteran,Margin of Error!!Total!!Female!!75 years and over!!Veteran,Estimate!!Total!!Female!!75 years and over!!Nonveteran,Margin of Error!!Total!!Female!!75 years and over!!Nonveteran
0600000US0901156270,0901156270,"Norwich town, New London County, Connecticut",30888,531,2864,352,28024,665,14627,510,2694,343,11933,587,4710,551,206,130,4504,538,4947,471,649,188,4298,451,2353,237,576,173,1777,251,1615,247,765,185,850,175,1002,169,498,128,504,127,16261,506,170,107,16091,515,4948,386,0,26,4948,386,5026,404,90,83,4936,400,2502,332,22,25,2480,332,2026,229,52,43,1974,223,1759,220,6,10,1753,220
0600000US0900722280,0900722280,"East Haddam town, Middlesex County, Connecticut",7476,137,703,152,6773,203,3727,171,693,149,3034,222,660,182,0,17,660,182,1392,176,116,79,1276,175,852,166,128,78,724,162,593,110,313,91,280,105,230,74,136,60,94,63,3749,175,10,13,3739,176,805,158,0,17,805,158,1188,143,0,17,1188,143,919,168,5,7,914,168,537,111,0,17,537,111,300,93,5,10,295,91
0600000US0900987700,0900987700,"Woodbridge town, New Haven County, Connecticut",6785,166,316,94,6469,183,3190,226,308,92,2882,227,387,113,0,17,387,113,1318,191,20,19,1298,192,567,130,36,41,531,134,571,124,120,59,451,122,347,115,132,71,215,83,3595,205,8,12,3587,206,517,156,0,17,517,156,1298,169,8,12,1290,171,597,133,0,17,597,133,667,131,0,17,667,131,516,152,0,17,516,152
0600000US0901171670,0901171670,"Sprague town, New London County, Connecticut",2337,102,219,66,2118,109,1147,83,205,63,942,81,309,82,24,36,285,77,377,68,60,35,317,60,288,52,54,28,234,50,118,33,42,22,76,28,55,25,25,12,30,21,1190,84,14,21,1176,85,281,74,0,12,281,74,385,62,14,21,371,61,253,55,0,12,253,55,101,31,0,12,101,31,170,73,0,12,170,73
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",27326,358,1491,230,25835,406,13004,395,1398,223,11606,405,2753,303,74,43,2679,298,4916,279,172,99,4744,286,2394,227,135,71,2259,222,1483,201,370,116,1113,180,1458,232,647,149,811,163,14322,354,93,68,14229,353,2879,299,25,37,2854,296,5194,290,16,19,5178,295,2398,278,0,26,2398,278,1812,223,0,26,1812,223,2039,245,52,54,1987,241
0600000US0901180280,0901180280,"Waterford town, New London County, Connecticut",15393,267,1862,288,13531,373,7513,266,1706,249,5807,326,1903,247,112,56,1791,236,2287,223,310,148,1977,231,1503,170,372,110,1131,162,1053,164,385,95,668,155,767,130,527,114,240,88,7880,286,156,111,7724,280,1336,205,21,23,1315,211,2481,237,22,26,2459,236,1559,180,61,74,1498,177,1022,139,12,19,1010,141,1482,209,40,62,1442,199
0600000US0901173770,0901173770,"Stonington town, New London County, Connecticut",15138,279,1385,192,13753,329,7168,252,1309,183,5859,284,1390,197,66,67,1324,183,2335,223,236,84,2099,225,1542,145,159,78,1383,139,1211,156,500,82,711,132,690,98,348,74,342,73,7970,223,76,47,7894,218,1431,200,0,19,1431,200,2259,154,21,25,2238,158,1724,147,29,26,1695,145,1299,186,17,17,1282,181,1257,177,9,14,1248,177
0600000US0900715350,0900715350,"Clinton town, Middlesex County, Connecticut",10460,230,878,125,9582,227,4936,198,819,119,4117,177,1091,160,99,45,992,155,1800,154,150,71,1650,167,955,164,96,45,859,160,660,114,220,62,440,96,430,85,254,60,176,65,5524,198,59,58,5465,201,1189,174,27,41,1162,172,1707,156,14,20,1693,158,1135,142,18,20,1117,143,825,123,0,19,825,123,668,99,0,19,668,99
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",20123,359,807,155,19316,388,9598,337,777,152,8821,345,1557,261,21,26,1536,261,3837,176,38,30,3799,175,2341,219,85,49,2256,211,1104,161,238,93,866,133,759,135,395,112,364,106,10525,303,30,38,10495,307,1515,246,0,23,1515,246,4307,221,0,23,4307,221,2036,216,0,23,2036,216,1322,186,0,23,1322,186,1345,172,30,38,1315,175
